"","dsb.index","cduid","panel","mrktshr","change","year"
"1",28,3501,"Elementary",0.465889758421232,0.0116975309615591,2017
"2",57,3501,"Elementary",0.223290234773733,-0.013016852466164,2017
"3",64,3501,"Elementary",0.0603946920721334,0.00550628090556461,2017
"4",71,3501,"Elementary",0.158132017693093,0.00600535945075001,2017
"5",28,3501,"Secondary",0.407561678949055,-0.0391817098854212,2017
"6",57,3501,"Secondary",0.215636014098046,0.0286869445583785,2017
"7",64,3501,"Secondary",0.0230695289971163,0.00923505299319858,2017
"8",71,3501,"Secondary",0.087632169176546,-0.0137390355247273,2017
"9",28,3502,"Elementary",0.170579828501429,0.00240268336995245,2017
"10",57,3502,"Elementary",0.15557370355247,-0.0123959382102528,2017
"11",64,3502,"Elementary",0.124438546345447,0.0209407242374061,2017
"12",71,3502,"Elementary",0.56420988158432,0.00473713601900227,2017
"13",28,3502,"Secondary",0.153907655406756,-0.0316480738413291,2017
"14",57,3502,"Secondary",0.127923246052369,-0.000574487260121659,2017
"15",64,3502,"Secondary",0.0707575454727164,0.00588338571032775,2017
"16",71,3502,"Secondary",0.415750549670198,-0.0128878745911746,2017
"17",27,3506,"Elementary",0.467849583341279,-0.0150614170857327,2017
"18",58,3506,"Elementary",0.272058122461433,0.0137316109202114,2017
"19",64,3506,"Elementary",0.0803665071222898,0.0179082750741057,2017
"20",72,3506,"Elementary",0.157824984268035,0.0212185024988694,2017
"21",27,3506,"Secondary",0.409451982250142,0.0148496269764136,2017
"22",58,3506,"Secondary",0.231496868209127,-0.0101836144681595,2017
"23",64,3506,"Secondary",0.048939939007688,0.00460336389701744,2017
"24",72,3506,"Secondary",0.0903014919376929,0.0200705793973131,2017
"25",28,3507,"Elementary",0.67178726560017,0.0319150023554203,2017
"26",57,3507,"Elementary",0.250026485856553,-0.0170084043491243,2017
"27",72,3507,"Elementary",0.0480983154995233,0.00808270584614447,2017
"28",28,3507,"Secondary",0.48037417461482,-0.0479893537487082,2017
"29",57,3507,"Secondary",0.171863536316948,0.0148988793522909,2017
"30",72,3507,"Secondary",0.0132061628760088,0.00578115545100138,2017
"31",28,3509,"Elementary",0.653392330383481,0.000627466937156207,2017
"32",57,3509,"Elementary",0.317109144542773,0.00751899467716249,2017
"33",72,3509,"Elementary",0.0256637168141593,1.52374831227618e-05,2017
"34",28,3509,"Secondary",0.563256325632563,-0.000801006230722323,2017
"35",57,3509,"Secondary",0.279427942794279,0.00644007068843594,2017
"36",29,3510,"Elementary",0.657585688925304,-0.00397181857369955,2017
"37",60,3510,"Elementary",0.236105421275434,-0.00019469467627431,2017
"38",64,3510,"Elementary",0.0348900723747098,0.0252361252876274,2017
"39",72,3510,"Elementary",0.0277208794210023,0.00108251089296649,2017
"40",29,3510,"Secondary",0.584239130434783,0.000175547797733433,2017
"41",60,3510,"Secondary",0.257634575569358,0.0116594380107684,2017
"42",64,3510,"Secondary",0.0041407867494824,0.00159340545745061,2017
"43",72,3510,"Secondary",0.0182453416149068,0.002553472855991,2017
"44",29,3511,"Elementary",0.805555555555556,0.0192356725039903,2017
"45",60,3511,"Elementary",0.190207156308851,0.030688059070041,2017
"46",29,3511,"Secondary",0.614690721649485,-0.05,2017
"47",16,3512,"Elementary",0.0534900284900285,-0.000365753295391895,2017
"48",30,3512,"Elementary",0.00584045584045584,-0.00228496047715943,2017
"49",31,3512,"Elementary",0.641880341880342,0.0138888810704202,2017
"50",59,3512,"Elementary",0.0108262108262108,-0.00260681495544457,2017
"51",60,3512,"Elementary",0.241096866096866,0.0164395762503538,2017
"52",64,3512,"Elementary",0.0235754985754986,0.00671833666174585,2017
"53",72,3512,"Elementary",0.0136752136752137,0.00332119405498778,2017
"54",30,3512,"Secondary",0.0479237576582709,0.00912647346816424,2017
"55",31,3512,"Secondary",0.525799863852961,-0.030725623807347,2017
"56",60,3512,"Secondary",0.202042205582029,0.0163540926388235,2017
"57",64,3512,"Secondary",0.00912185159972771,0.000715773358537923,2017
"58",31,3513,"Elementary",0.703742751713231,-0.0311212496322364,2017
"59",60,3513,"Elementary",0.140748550342646,0.016011952408974,2017
"60",31,3513,"Secondary",0.455463728191001,-0.0239275210163549,2017
"61",16,3514,"Elementary",0.747632824829037,-0.00519783594640422,2017
"62",46,3514,"Elementary",0.207522356654392,0.0250726201584194,2017
"63",16,3514,"Secondary",0.623300090661831,-0.05,2017
"64",46,3514,"Secondary",0.198096101541251,0.0424597379048875,2017
"65",16,3515,"Elementary",0.622472079686085,0.00830702914125758,2017
"66",46,3515,"Elementary",0.345004527618473,0.0222945284712436,2017
"67",70,3515,"Elementary",0.0169785692725626,0.00371719517835738,2017
"68",16,3515,"Secondary",0.513950727218759,-0.00151782942428269,2017
"69",46,3515,"Secondary",0.250371029979222,0.0213238930684337,2017
"70",17,3516,"Elementary",0.79946721918011,-0.0080228476803379,2017
"71",46,3516,"Elementary",0.127127423412757,-0.0121285700709911,2017
"72",17,3516,"Secondary",0.721743810548977,0.0288837366876725,2017
"73",46,3516,"Secondary",0.0799246501614639,-0.0124019809423522,2017
"74",15,3518,"Elementary",0.616073784602239,0.0109744014227838,2017
"75",16,3518,"Elementary",0.100436022768682,0.0023586456763915,2017
"76",46,3518,"Elementary",0.0419436311775128,0.00199310314900378,2017
"77",50,3518,"Elementary",0.183393438297124,-0.00797338919572715,2017
"78",63,3518,"Elementary",0.00752673309626428,0.00359733121536418,2017
"79",70,3518,"Elementary",0.0136963924456228,0.00116864393113054,2017
"80",15,3518,"Secondary",0.482442354155427,-0.000365461413683099,2017
"81",16,3518,"Secondary",0.0643663062090967,-0.0107499969026577,2017
"82",46,3518,"Secondary",0.0409795688583425,0.00283214820290988,2017
"83",50,3518,"Secondary",0.148553869250076,-0.0281648322902939,2017
"84",70,3518,"Secondary",0.00788158851539959,0.000727654885708699,2017
"85",18,3519,"Elementary",0.62430012852521,0.0249047265022133,2017
"86",47,3519,"Elementary",0.262900533305757,-0.0237676854609409,2017
"87",63,3519,"Elementary",0.00301369458273626,-9.86506958645895e-06,2017
"88",70,3519,"Elementary",0.0111610110649865,0.00189972323141364,2017
"89",18,3519,"Secondary",0.510227072220639,0.00189526008409613,2017
"90",47,3519,"Secondary",0.238188308427325,0.00487149094486189,2017
"91",70,3519,"Secondary",0.00694925146246454,0.00280290363864521,2017
"92",14,3520,"Elementary",0.653827663351869,-6.92629560415936e-05,2017
"93",45,3520,"Elementary",0.236394126487211,0.00313560451361522,2017
"94",63,3520,"Elementary",0.0130976761088546,0.00328379934473724,2017
"95",70,3520,"Elementary",0.00945228244040747,0.00245402688414366,2017
"96",14,3520,"Secondary",0.50455575132142,-0.05,2017
"97",45,3520,"Secondary",0.192693538527921,-0.0114053445096804,2017
"98",63,3520,"Secondary",0.00532882672323901,0.000800600781535722,2017
"99",70,3520,"Secondary",0.00314264140088454,0.00118376440091808,2017
"100",21,3521,"Elementary",0.63654112503546,0.0039058176668787,2017
"101",48,3521,"Elementary",0.266924758456122,-0.0231676458653113,2017
"102",63,3521,"Elementary",0.00605180747687464,0.000722304664166745,2017
"103",70,3521,"Elementary",0.0108520922678147,0.00158095991843585,2017
"104",21,3521,"Secondary",0.418068161824824,-0.0241657690537286,2017
"105",48,3521,"Secondary",0.321134719476729,-0.0228474349160357,2017
"106",63,3521,"Secondary",0.00459517920163936,0.00257644535151016,2017
"107",70,3521,"Secondary",0.00525754737484864,-0.000939965545048002,2017
"108",20,3522,"Elementary",0.787307488050982,0.0186359254675605,2017
"109",48,3522,"Elementary",0.162108337758895,0.00805374780692961,2017
"110",20,3522,"Secondary",0.635465663217309,-0.05,2017
"111",20,3523,"Elementary",0.676501295386876,0.035245808080947,2017
"112",53,3523,"Elementary",0.213023471636828,-0.0106892876169872,2017
"113",63,3523,"Elementary",0.00564556668342291,0.00222219357635559,2017
"114",70,3523,"Elementary",0.00970573450369282,0.00305115536171239,2017
"115",20,3523,"Secondary",0.569521690767519,0.00236662361245232,2017
"116",53,3523,"Secondary",0.17137560252132,-0.00817941036702624,2017
"117",22,3524,"Elementary",0.608475418866809,0.0224653775987,2017
"118",51,3524,"Elementary",0.305158074354737,-0.00256948198042051,2017
"119",63,3524,"Elementary",0.00902898141803378,0.00203188070584921,2017
"120",70,3524,"Elementary",0.0201271044110336,0.00238985824504495,2017
"121",22,3524,"Secondary",0.472740674441256,-0.0246153271508288,2017
"122",51,3524,"Secondary",0.300497538631637,0.0216267818226305,2017
"123",23,3525,"Elementary",0.603357835231806,0.00758980816501187,2017
"124",52,3525,"Elementary",0.317704177771742,-0.0105511021064316,2017
"125",63,3525,"Elementary",0.00590761709134738,0.002156001842657,2017
"126",70,3525,"Elementary",0.0132581866331675,0.000906249675850674,2017
"127",23,3525,"Secondary",0.437434513414828,-0.0358401635167092,2017
"128",52,3525,"Secondary",0.316145419907922,0.0293156151237591,2017
"129",63,3525,"Secondary",0.00419114145102397,0.00116667073339956,2017
"130",70,3525,"Secondary",0.00647721860612796,-0.000754015927828601,2017
"131",24,3526,"Elementary",0.565050246172523,0.0196753020302443,2017
"132",55,3526,"Elementary",0.324655470875205,-0.0130022416552643,2017
"133",63,3526,"Elementary",0.0130392751961512,-0.00104182479085688,2017
"134",70,3526,"Elementary",0.0282142937433961,0.0021283508780286,2017
"135",24,3526,"Secondary",0.453004934077489,-0.0247426307178847,2017
"136",55,3526,"Secondary",0.269837418102402,-0.0150901281062508,2017
"137",63,3526,"Secondary",0.00206260616355254,-0.00265291374833264,2017
